epic_id,epic_title,feature_id,feature_title,story_id,story_title,story_description,story_points,priority,acceptance_criteria,relations
EP-01,Customer Account Management,FE-01,User Registration & Login,US-001,Register with email and password,"As a new customer, I want to register with my email and a password, so that I can create a personal account on the platform.",5,High,"Given I am on the registration page, When I enter a valid email and a password of at least 8 characters and click Register, Then my account is created and I receive a confirmation email. | Given I enter an email that is already registered, When I click Register, Then I see an error message stating the email is already in use. | Given I enter a password shorter than 8 characters, When I click Register, Then I see a validation error message.",
EP-01,Customer Account Management,FE-01,User Registration & Login,US-002,Login with email and password,"As a registered customer, I want to log in with my email and password, so that I can access my account.",3,High,"Given I am on the login page, When I enter correct credentials and click Login, Then I am redirected to my account dashboard. | Given I enter incorrect credentials, When I click Login, Then I see an error message and remain on the login page. | Given I fail to login 5 times consecutively, When I try again, Then my account is temporarily locked and I receive an email notification.",depends_on:US-001
EP-01,Customer Account Management,FE-01,User Registration & Login,US-003,Reset forgotten password,"As a customer who forgot my password, I want to reset it via email, so that I can regain access to my account.",3,Medium,"Given I click Forgot Password and enter my registered email, When I submit the form, Then I receive a password reset email within 2 minutes. | Given I click the reset link in the email, When the link is less than 24 hours old, Then I can set a new password. | Given I click an expired reset link, When I open it, Then I see a message that the link has expired and I am prompted to request a new one.",depends_on:US-002
EP-01,Customer Account Management,FE-01,User Registration & Login,US-004,Login with Google SSO,"As a customer, I want to log in using my Google account, so that I can authenticate quickly without a separate password.",5,Medium,"Given I click Login with Google, When I authorize the app in the Google popup, Then I am logged in and redirected to my dashboard. | Given my Google email is not yet registered, When I complete Google SSO, Then a new account is automatically created with my Google profile data. | Given I previously registered with the same email using a password, When I login via Google SSO, Then both accounts are merged.",alternative_to:US-002
EP-01,Customer Account Management,FE-02,Profile Management,US-005,Update personal information,"As a logged-in customer, I want to update my name, phone number, and profile picture, so that my account reflects my current details.",3,Medium,"Given I am on the profile page, When I update my name and click Save, Then the new name is displayed across the platform. | Given I upload a profile picture larger than 5MB, When I try to save, Then I see an error message indicating the file size limit. | Given I clear my phone number and save, When the save is successful, Then the phone number field is shown as empty.",depends_on:US-001
EP-01,Customer Account Management,FE-02,Profile Management,US-006,Manage saved addresses,"As a customer, I want to add, edit, and delete delivery addresses, so that I can quickly select a shipping address at checkout.",5,High,"Given I am on the addresses page, When I add a new address with all required fields, Then it appears in my address list. | Given I have multiple addresses, When I set one as default, Then it is pre-selected at checkout. | Given I delete an address, When I confirm deletion, Then it is removed from my list and no longer appears at checkout.",depends_on:US-005; precedes:US-020
EP-01,Customer Account Management,FE-03,Account Security,US-007,Enable two-factor authentication,"As a customer, I want to enable 2FA on my account, so that my account is protected against unauthorized access.",8,Medium,"Given I am on the security settings page, When I enable 2FA and scan the QR code with an authenticator app, Then 2FA is activated on my account. | Given 2FA is enabled, When I log in with correct credentials, Then I am prompted to enter a 6-digit code before accessing my account. | Given I enter an invalid 2FA code, When I click Verify, Then I see an error and am given 2 more attempts before being locked out.",depends_on:US-002
EP-02,Product Discovery & Search,FE-04,Product Search,US-008,Search products by keyword,"As a customer, I want to search for products by keyword, so that I can quickly find what I am looking for.",5,High,"Given I type a keyword in the search bar and press Enter, When results are available, Then I see a list of matching products within 1 second. | Given I search for a term with no matching products, When results load, Then I see a 'No results found' message with suggested alternatives. | Given I type at least 3 characters, When I pause typing, Then auto-suggest shows up to 5 matching product names.",
EP-02,Product Discovery & Search,FE-04,Product Search,US-009,Filter search results,"As a customer, I want to filter search results by category, price range, and rating, so that I can narrow down options to what suits me.",5,High,"Given I am on the search results page, When I apply a price range filter, Then only products within that range are displayed. | Given I select a category filter, When it is applied, Then the results update without a full page reload. | Given I apply multiple filters, When I clear all filters, Then the full unfiltered results are restored.",depends_on:US-008
EP-02,Product Discovery & Search,FE-04,Product Search,US-010,Sort search results,"As a customer, I want to sort search results by price, popularity, or newest, so that I can find the most relevant products faster.",3,Medium,"Given I am on the search results page, When I select Sort by Price (Low to High), Then products are re-ordered accordingly. | Given I change the sort order, When the new order is applied, Then the selected sort option remains visible and active. | Given I sort by Newest, When the sort is applied, Then products are ordered by their date added, most recent first.",depends_on:US-008
